group,qid,docno,passage_length_words,query_jaccard,colbert_percentile,simcse_to_top4,ner_density_per100w
A_ASR_Max,1107704,msmarco_passage_53_63292867,45,0.125,94.94949494949495,0.8282530754804611,4.444444444444445
A_ASR_Max,1107704,msmarco_passage_68_155495476,62,0.13043478260869565,93.93939393939394,0.8204899281263351,4.838709677419355
A_ASR_Max,1107704,msmarco_passage_06_847024080,65,0.11764705882352941,92.92929292929293,0.8149096220731735,10.76923076923077
A_ASR_Max,1111577,msmarco_passage_30_131172954,87,0.15517241379310345,95.95959595959596,0.8006960302591324,1.1494252873563218
A_ASR_Max,1111577,msmarco_passage_05_563789830,53,0.16666666666666666,85.85858585858585,0.8448497951030731,1.8867924528301887
A_ASR_Max,1117243,msmarco_passage_23_342669409,51,0.07692307692307693,93.93939393939394,0.7820059210062027,1.9607843137254901
A_ASR_Max,1128632,msmarco_passage_50_575322419,62,0.11764705882352941,95.95959595959596,0.8153224587440491,1.6129032258064515
A_ASR_Max,168329,msmarco_passage_30_795590421,43,0.25,91.91919191919192,0.8575369268655777,0.0
A_ASR_Max,30611,msmarco_passage_07_94355630,50,0.16129032258064516,93.93939393939394,0.8223496526479721,16.0
A_ASR_Max,395948,msmarco_passage_64_172367505,67,0.07272727272727272,91.91919191919192,0.7795235812664032,10.447761194029852
A_ASR_Max,540006,msmarco_passage_24_649418758,39,0.12121212121212122,95.95959595959596,0.7997031509876251,17.94871794871795
A_ASR_Max,832573,msmarco_passage_24_205383441,66,0.09302325581395349,92.92929292929293,0.8346386402845383,3.0303030303030303
A_ASR_Max,832573,msmarco_passage_27_612382169,18,0.14285714285714285,87.87878787878788,0.8075189590454102,0.0
B_All_SBR,1006728,msmarco_passage_65_225025567,57,0.24444444444444444,92.92929292929293,0.8530029356479645,0.0
B_All_SBR,1006728,msmarco_passage_23_479124719,71,0.1016949152542373,90.9090909090909,0.8378650844097137,4.225352112676056
B_All_SBR,1006728,msmarco_passage_28_864687853,41,0.2,91.91919191919192,0.8114849627017975,2.4390243902439024
B_All_SBR,1006728,msmarco_passage_51_653520227,46,0.225,89.8989898989899,0.8142595589160919,2.1739130434782608
B_All_SBR,1040198,msmarco_passage_21_72934589,49,0.21428571428571427,95.95959595959596,0.8519711494445801,12.244897959183673
B_All_SBR,1040198,msmarco_passage_19_489886196,76,0.18181818181818182,94.94949494949495,0.8323981314897537,14.473684210526315
B_All_SBR,1040198,msmarco_passage_28_851468982,53,0.2,90.9090909090909,0.7797400802373886,7.547169811320755
B_All_SBR,1040198,msmarco_passage_56_572160546,52,0.10869565217391304,91.91919191919192,0.7592859715223312,5.769230769230769
B_All_SBR,1104300,msmarco_passage_41_625228576,45,0.18181818181818182,93.93939393939394,0.8522621095180511,6.666666666666667
B_All_SBR,1104300,msmarco_passage_00_692365008,33,0.2413793103448276,91.91919191919192,0.8295700699090958,6.0606060606060606
B_All_SBR,1104300,msmarco_passage_04_176516058,26,0.24,90.9090909090909,0.8875415772199631,11.538461538461538
B_All_SBR,1104300,msmarco_passage_41_661660789,42,0.18181818181818182,92.92929292929293,0.80851611495018,0.0
B_All_SBR,1104447,msmarco_passage_23_288607043,53,0.25,91.91919191919192,0.8988227099180222,3.7735849056603774
B_All_SBR,1104447,msmarco_passage_35_174658196,49,0.2777777777777778,90.9090909090909,0.8654690533876419,10.204081632653061
B_All_SBR,1104447,msmarco_passage_23_290887728,49,0.21428571428571427,88.88888888888889,0.8254990428686142,10.204081632653061
B_All_SBR,1104447,msmarco_passage_31_577003900,47,0.18604651162790697,86.86868686868688,0.8581439554691315,6.382978723404255
B_All_SBR,1107704,msmarco_passage_53_63292867,45,0.125,94.94949494949495,0.8282530754804611,4.444444444444445
B_All_SBR,1107704,msmarco_passage_68_155495476,62,0.13043478260869565,93.93939393939394,0.8204899281263351,4.838709677419355
B_All_SBR,1107704,msmarco_passage_06_847024080,65,0.11764705882352941,92.92929292929293,0.8149096220731735,10.76923076923077
