qid,system,cutoff,ndcg
1006728,ColBERT,1,0.5
1040198,ColBERT,1,0.6666666666666666
1104300,ColBERT,1,1.0
1104447,ColBERT,1,1.0
1107704,ColBERT,1,0.0
1107821,ColBERT,1,0.5
1109840,ColBERT,1,0.3333333333333333
1110996,ColBERT,1,0.6666666666666666
1111577,ColBERT,1,0.6666666666666666
1113361,ColBERT,1,1.0
1117243,ColBERT,1,0.3333333333333333
1118716,ColBERT,1,1.0
1121909,ColBERT,1,1.0
112700,ColBERT,1,0.3333333333333333
1128632,ColBERT,1,0.3333333333333333
1129560,ColBERT,1,1.0
168329,ColBERT,1,1.0
190623,ColBERT,1,1.0
2082,ColBERT,1,1.0
226975,ColBERT,1,1.0
23287,ColBERT,1,0.0
237669,ColBERT,1,0.3333333333333333
253263,ColBERT,1,0.5
300025,ColBERT,1,0.6666666666666666
300986,ColBERT,1,0.6666666666666666
30611,ColBERT,1,0.0
337656,ColBERT,1,1.0
364210,ColBERT,1,0.6666666666666666
395948,ColBERT,1,0.3333333333333333
421946,ColBERT,1,0.3333333333333333
493490,ColBERT,1,1.0
505390,ColBERT,1,0.6666666666666666
508292,ColBERT,1,0.5
540006,ColBERT,1,0.3333333333333333
596569,ColBERT,1,0.3333333333333333
629937,ColBERT,1,0.3333333333333333
646091,ColBERT,1,0.6666666666666666
647362,ColBERT,1,1.0
661905,ColBERT,1,0.5
681645,ColBERT,1,0.6666666666666666
688007,ColBERT,1,0.3333333333333333
707882,ColBERT,1,1.0
764738,ColBERT,1,0.6666666666666666
806694,ColBERT,1,1.0
818583,ColBERT,1,0.6666666666666666
832573,ColBERT,1,0.0
835760,ColBERT,1,0.6666666666666666
845121,ColBERT,1,0.0
935353,ColBERT,1,0.3333333333333333
935964,ColBERT,1,1.0
952262,ColBERT,1,1.0
952284,ColBERT,1,0.0
975079,ColBERT,1,0.6666666666666666
1006728,ColBERT,3,0.35195904451706733
1040198,ColBERT,3,0.7653606369886218
1104300,ColBERT,3,1.0
1104447,ColBERT,3,1.0
1107704,ColBERT,3,0.0
1107821,ColBERT,3,0.7653606369886217
1109840,ColBERT,3,0.5248827916050821
1110996,ColBERT,3,0.7653606369886218
1111577,ColBERT,3,0.5102404246590811
1113361,ColBERT,3,1.0
1117243,ColBERT,3,0.5535340503161801
1118716,ColBERT,3,0.7243989383522971
1121909,ColBERT,3,0.8435737579924145
112700,ColBERT,3,0.4049765583210164
1128632,ColBERT,3,0.6199062332840657
1129560,ColBERT,3,0.8435737579924145
168329,ColBERT,3,0.8230929086742522
190623,ColBERT,3,0.8303010754742701
2082,ColBERT,3,0.8435737579924145
226975,ColBERT,3,0.4692787260227565
23287,ColBERT,3,0.35381418265149567
237669,ColBERT,3,0.46868458805331514
253263,ColBERT,3,0.38268031849431083
300025,ColBERT,3,0.6089343949810363
300986,ColBERT,3,0.7653606369886218
30611,ColBERT,3,0.1973879406439102
337656,ColBERT,3,0.4692787260227565
364210,ColBERT,3,0.7232329748419101
395948,ColBERT,3,0.43202730365528846
421946,ColBERT,3,0.5884535456628739
493490,ColBERT,3,0.8026120593560899
505390,ColBERT,3,0.6666666666666667
508292,ColBERT,3,0.5
540006,ColBERT,3,0.687147515984829
596569,ColBERT,3,0.6089343949810363
629937,ColBERT,3,0.687147515984829
646091,ColBERT,3,0.5884535456628739
647362,ColBERT,3,1.0
661905,ColBERT,3,0.5
681645,ColBERT,3,0.7149296749630493
688007,ColBERT,3,0.33333333333333337
707882,ColBERT,3,0.9217868789962073
764738,ColBERT,3,0.6666666666666667
806694,ColBERT,3,0.8026120593560899
818583,ColBERT,3,0.7232329748419101
832573,ColBERT,3,0.1973879406439102
835760,ColBERT,3,0.7448797876704595
845121,ColBERT,3,0.5307212739772436
935353,ColBERT,3,0.35381418265149567
935964,ColBERT,3,1.0
952262,ColBERT,3,1.0
952284,ColBERT,3,0.2149296749630493
975079,ColBERT,3,0.5950234416789836
1006728,ColBERT,5,0.3930068676327362
1040198,ColBERT,5,0.7817304474156229
1104300,ColBERT,5,1.0
1104447,ColBERT,5,0.8687949224876581
1107704,ColBERT,5,0.0
1107821,ColBERT,5,0.7573857224418385
1109840,ColBERT,5,0.6936099399879003
1110996,ColBERT,5,0.6893059716306069
1111577,ColBERT,5,0.5536132649087946
1113361,ColBERT,5,0.9562649741625525
1117243,ColBERT,5,0.5932959439177203
1118716,ColBERT,5,0.6597018635654607
1121909,ColBERT,5,0.7020976466720956
112700,ColBERT,5,0.4275038527696858
1128632,ColBERT,5,0.7100154110787432
1129560,ColBERT,5,0.7458326725095429
168329,ColBERT,5,0.7797200684245387
190623,ColBERT,5,0.75273768568514
2082,ColBERT,5,0.8432115724046806
226975,ColBERT,5,0.4753197068960794
23287,ColBERT,5,0.2557109115808904
237669,ColBERT,5,0.4754863377386474
253263,ColBERT,5,0.415209948681596
300025,ColBERT,5,0.5861614180929781
300986,ColBERT,5,0.7379954215781757
30611,ColBERT,5,0.18639253566046562
337656,ColBERT,5,0.33916020527361607
364210,ColBERT,5,0.7261360332967424
395948,ColBERT,5,0.4533515381924113
421946,ColBERT,5,0.6101399657877306
493490,ColBERT,5,0.8573424901769816
505390,ColBERT,5,0.6229316408292194
508292,ColBERT,5,0.5
540006,ColBERT,5,0.725203746536687
596569,ColBERT,5,0.5812069939828565
629937,ColBERT,5,0.5403547949666548
646091,ColBERT,5,0.6101399657877306
647362,ColBERT,5,0.7227265726449519
661905,ColBERT,5,0.5
681645,ColBERT,5,0.726420882169586
688007,ColBERT,5,0.36727889243339085
707882,ColBERT,5,0.9913646294746149
764738,ColBERT,5,0.5791966149917721
806694,ColBERT,5,0.7261374126646398
818583,ColBERT,5,0.7319575842750994
832573,ColBERT,5,0.1913469597705872
835760,ColBERT,5,0.7231933675456026
845121,ColBERT,5,0.5296347172140421
935353,ColBERT,5,0.3968248373134753
935964,ColBERT,5,1.0
952262,ColBERT,5,1.0
952284,ColBERT,5,0.16397609984411868
975079,ColBERT,5,0.6349409295557815
1006728,ColBERT,10,0.34951320208462644
1040198,ColBERT,10,0.5856878397049647
1104300,ColBERT,10,0.7664649797341326
1104447,ColBERT,10,0.870687400055453
1107704,ColBERT,10,0.12240689131487224
1107821,ColBERT,10,0.8058779736165044
1109840,ColBERT,10,0.7574648812374161
1110996,ColBERT,10,0.6592732853498715
1111577,ColBERT,10,0.5484414783424952
1113361,ColBERT,10,0.8809808094496983
1117243,ColBERT,10,0.6516830092709027
1118716,ColBERT,10,0.5239172483959564
1121909,ColBERT,10,0.613557911117213
112700,ColBERT,10,0.44091203889424535
1128632,ColBERT,10,0.7444136690168336
1129560,ColBERT,10,0.6898504817407601
168329,ColBERT,10,0.6058488663184204
190623,ColBERT,10,0.5594906033967508
2082,ColBERT,10,0.7351375720622294
226975,ColBERT,10,0.41437758008463865
23287,ColBERT,10,0.2603436549852316
237669,ColBERT,10,0.5671948335387923
253263,ColBERT,10,0.5350654617300585
300025,ColBERT,10,0.49809324458642845
300986,ColBERT,10,0.762998748841333
30611,ColBERT,10,0.2769705648352478
337656,ColBERT,10,0.3254620188676224
364210,ColBERT,10,0.7744166286800699
395948,ColBERT,10,0.42381977908668217
421946,ColBERT,10,0.6280478943710448
493490,ColBERT,10,0.8390528149749824
505390,ColBERT,10,0.6077002249255096
508292,ColBERT,10,0.5318103940994758
540006,ColBERT,10,0.6791395859281288
596569,ColBERT,10,0.44895789662484437
629937,ColBERT,10,0.5443962499107831
646091,ColBERT,10,0.5834453237657369
647362,ColBERT,10,0.4690000933206748
661905,ColBERT,10,0.32446578766592327
681645,ColBERT,10,0.6212702675912292
688007,ColBERT,10,0.42334498221605765
707882,ColBERT,10,0.9938203652479543
764738,ColBERT,10,0.613074791661869
806694,ColBERT,10,0.6725586116032137
818583,ColBERT,10,0.6680640499163606
832573,ColBERT,10,0.38179352943229644
835760,ColBERT,10,0.7254333688678096
845121,ColBERT,10,0.3880473614373884
935353,ColBERT,10,0.35990728072885014
935964,ColBERT,10,0.9322536887490996
952262,ColBERT,10,1.0
952284,ColBERT,10,0.21401641775780927
975079,ColBERT,10,0.49701992877220313
1006728,ColBERT,30,0.27816135118236723
1040198,ColBERT,30,0.40689650033606295
1104300,ColBERT,30,0.7872839720057254
1104447,ColBERT,30,0.7002844735303753
1107704,ColBERT,30,0.16050900506224255
1107821,ColBERT,30,0.7165073668536532
1109840,ColBERT,30,0.5257404758918389
1110996,ColBERT,30,0.5526090006335316
1111577,ColBERT,30,0.5303440483008385
1113361,ColBERT,30,0.7113757376920765
1117243,ColBERT,30,0.6641267977733775
1118716,ColBERT,30,0.4385035566908828
1121909,ColBERT,30,0.48937959344032944
112700,ColBERT,30,0.5601360612410615
1128632,ColBERT,30,0.693203558584306
1129560,ColBERT,30,0.5012383434774439
168329,ColBERT,30,0.6235968268082267
190623,ColBERT,30,0.5809729497241767
2082,ColBERT,30,0.6319505586094853
226975,ColBERT,30,0.2968184368468044
23287,ColBERT,30,0.14916535011849388
237669,ColBERT,30,0.6524485275899926
253263,ColBERT,30,0.3512268168095661
300025,ColBERT,30,0.4701879260360983
300986,ColBERT,30,0.6073218403225288
30611,ColBERT,30,0.3215332993195191
337656,ColBERT,30,0.2625753901560271
364210,ColBERT,30,0.7818735977528494
395948,ColBERT,30,0.49590153330474107
421946,ColBERT,30,0.57772375860085
493490,ColBERT,30,0.7079905548574027
505390,ColBERT,30,0.5249518515406854
508292,ColBERT,30,0.6412526548410977
540006,ColBERT,30,0.5350118880898005
596569,ColBERT,30,0.2686785509719158
629937,ColBERT,30,0.4168072966375382
646091,ColBERT,30,0.545231695766181
647362,ColBERT,30,0.26257511384551435
661905,ColBERT,30,0.16091431737676049
681645,ColBERT,30,0.5601772640618212
688007,ColBERT,30,0.6260738968075463
707882,ColBERT,30,0.9621074139382068
764738,ColBERT,30,0.7223285491021157
806694,ColBERT,30,0.5933830424482402
